geoid,HeathDeath_Percent,leadPoisonR,ndvi,treesN10,treeCrwDn,socvlnIndx,hrdshpIndx,urbanFlood,surfcTemp,trafficVol,nnetPM25,chAsthmaED,chAsthma17,pop18,whiteP18,blackP18,amIndP18,asianP18,hispP18,other18,chldren18,senior18,zipCode,comArea,comAreaNm,plantDivrs,plantTotl,plantSpec,redLined,mdRent18,mdHome18,frgnBrn18,hhldSize18,fmHhld18,college18,popDens18,ovrcwdHs18,costBurd18,hsngSuscp,hsngVuln,hsngChng,dsplcPresr,chwAirTemp,chwHeatAve,chwHeatMax,eclipsPM25,lungCRt17,physRt17,adAsthma17,cancerRt17,hyptRt17
17031291600,3.27,2.457264957,0.192543,453,11.8,63.9,21.3,9.5,70.9,4.2,10.3,158.5,82.5,,64.4,12.6,,1,73.8,21.9,23.87295082,8.606557377,60608,29,NORTH LAWNDALE,0.667,3,3,D,944,193100,34.93852459,3.84,75.66666667,23.10536044,11472.40737,2.333333,56,Moderate-cost,1,Rising,"Vulnerable, Prices Rising",84.29156665,88.92535449,99.39203001,11.18941832,91.37163778,25.2,10,616.1548341,29.7
17031580200,0.61,1.559934319,0.226763,1588,12.8,80.4,46.6,9.5,83.9,5.9,10.8,168,55.1,,45.5,1.5,,9.1,84,43.9,32.08245243,4.201902748,"60608,60632",58,BRIGHTON PARK,0.5,2,2,D,921,162600,45.77167019,4.37,84.49023861,12.62553802,13428.7392,15.29284,42.95011,Moderate-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.61842854,89.32954971,100.2170854,11.01596975,44.32203229,35.8,11.5,366.897263,15.8
17031590500,1.23,0.319488818,0.405935,2093,27.8,80.7,27.7,9.4,82.8,5.3,10.6,195.5,93,,36.4,1.6,,33.2,48.2,27.8,15.09229099,8.686210641,60609,59,MCKINLEY PARK,0.973,78,52,D,938,269200,45.60260586,3.58,61.8066561,16.27318718,8338.946943,2.694136,39.30269,Moderate-cost,1,Rising,"Vulnerable, Prices Rising",84.04968452,89.21798595,100.2775846,10.57846527,46.11498933,24,NA,439.7247368,32.7
17031590700,1.23,0.319488818,0.188116,1330,7.9,81.1,37.4,9.2,84.5,5.3,10.8,195.5,93,,47.7,2.1,,15.7,69,31.7,29.73769525,5.305039788,60609,59,MCKINLEY PARK,0.667,3,3,,907,221500,38.4910109,3.25,73.55450237,22.59887006,10102.93514,10.80569,43.88626,Moderate-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.66468246,89.64649449,100.8437139,10.63115406,46.11498933,24,NA,439.7247368,32.7
17031610400,2.45,2.49821556,0.210973,339,9.7,93.2,40,9.2,90.9,5,10.5,195.5,93,,50.6,1.2,,0,97.5,46,38.36446239,1.968702675,60609,61,NEW CITY,,,,D,762,128100,41.99899041,2.86,71.01200686,16.47286822,31442.39607,8.233276,51.11492,Lower-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",84.63310074,89.35918287,100.680754,11.24158478,67.22063136,32,10.5,474.5761204,23.1
17031843800,0.82,2.49821556,0.247428,2582,12.5,82.6,22.7,9.3,74.2,4.5,10.5,195.5,93,,31.6,59.6,,6.8,12.4,2,25.30364372,14.70985155,60609,61,NEW CITY,0.667,3,3,,1144,171400,6.41025641,2.23,52.72435897,11.90697674,2931.132709,4.967949,50.80128,Lower-cost,1,Rising,"Vulnerable, Prices Rising",84.03233416,89.0703793,100.0900938,10.41137624,67.22063136,32,10.5,474.5761204,23.1
17031400400,2.25,4.347826087,0.347598,740,11,96.1,33.4,9.5,56.2,4.7,10.4,348.5,268.8,,0.8,98.4,,0,0,0.8,32.02830189,9.858490566,60637,40,WASHINGTON PARK,0,1,1,D,1037,,0,1.84,56.41025641,18.66759195,16794.24856,6.538462,60.12821,Lower-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",82.88493184,86.90852776,96.96568691,10.25680542,89.8234038,26.9,NA,648.4579804,32.7
17031410500,2.25,0.895522388,0.295905,847,19.5,45.2,19.5,9.5,40.3,0,10,140.75,188.4,,41.7,39.3,,10.9,6,8.1,9.672131148,9.672131148,60615,41,HYDE PARK,0.75,4,4,C,1272,344500,12.33606557,2.12,31.70926518,48.93406049,24027.7996,0,51.91693,Moderate-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",82.02879821,85.77801351,94.69598377,9.523757458,86.61430355,14.7,8.7,656.6137624,18
17031421200,3.89,2.210884354,0.330891,913,19.3,88.5,33.4,9.5,59,5,10.3,348.5,268.8,,0,96.8,,0,1.2,1.9,26.69421488,16.03305785,60637,42,WOODLAWN,0,1,1,D,483,91100,2.892561983,3.05,37.08333333,16.07347876,9620.560309,5.416667,55.41667,Lower-cost,1,Rising,"Vulnerable, Prices Rising",84.4618316,89.38758655,99.69144455,10.18241692,106.6853478,27.1,12.3,602.9923383,36.3
17031834400,3.89,2.210884354,0.33889,1880,17.2,88.3,26.3,9,45.8,4.3,10.5,348.5,268.8,,4.1,93.9,,0.3,1.5,1.7,27.19817768,8.838268793,60637,42,WOODLAWN,0.918,30,20,C,1188,210000,2.072892938,2.9,55.35055351,29.33753943,19386.48324,6.088561,42.98893,Moderate-cost,1,Not_Rising,"Vulnerable, Prices Not Rising",83.36844572,87.79956403,98.81772403,10.25004268,106.6853478,27.1,12.3,602.9923383,36.3
