geoid,CMAQ_NO2,CMAQ_O3,CMAQ_PM25,proportionA,proportionB,proportionC,proportionD,proportionCorD,primary_grade_4levels,primary_grade_3levels,HPRICETIER,overcrowded_total,median_rent,median_home_value,cost_burdened_total,percentage_foreign_born,average_household_size,percentage_family_households,percentage_four_year_degree_or_higher_total,pop_density (sq.mi.),number_children,number_seniors,percentage_seniors,percentage_children,percentage_overcrowding,cost_burdened_owners_renters,simpson,specCt,uniqSp,ndvi,acs_population,svi_pecentile,trees_n,trees_area,trees_den,trees_crown_den,zip_code,asthma_5yr_avg,asthma_age_adj_rate,urban_flood_suscep,heatisl,nn_q3_pm2_5,logtraf,city_property_tot,hardship,pct_white,pct_black,pct_nativeam,pct_asian,pct_other,prop_comm,prop_plndev,prop_resdntl,CLRRt,AdAsthRt,PhysRate,LngCncRt,CancerRt,HypRt,logtrafScld,aland,awater,intptlat,intptlon,commarea_n,community
17031291600,19.05937958,28.5371933,11.10317612,0,0,0.124904,0.642133,0.767036,D,CD,moderate_cost,7,944,193100,168,34.93852459,3.84,75.66666667,23.10536044,11472.40737,233,84,8.606557377,23.87295082,2.333333,56,0.667,3,3,0.192543,976,63.9,453,25969,0.002056,11.8,60608,158.5,82.5,9.5,70.9,10.3,4.2,0,21.3,66.6,9.3,0,1.4,0,0,0,0,25.7,10,25.2,91.37163778,616.1548341,29.7,61.7647058823529,220340,0,+41.8576415,-087.6922159,29,NORTH LAWNDALE
17031580200,20.31525602,27.68553793,11.43532218,0,0,0,0.648691,0.648691,D,CD,moderate_cost,141,921,162600,396,45.77167019,4.37,84.49023861,12.62553802,13428.7392,1214,159,4.201902748,32.08245243,15.29284,42.95011,0.5,2,2,0.226763,3784,80.4,1588,93486,0.002176,12.8,60632,168,55.1,9.5,83.9,10.8,5.9,1,46.6,43.9,0.3,0.7,12.3,0,1,0,0,26.2,11.5,35.8,44.32203229,366.897263,15.8,86.7647058823529,729817,0,+41.8267718,-087.6993478,58,BRIGHTON PARK
17031590500,19.64178331,28.14528799,11.28868012,0,0,0,0.516123,0.516123,D,CD,moderate_cost,17,938,269200,248,45.60260586,3.58,61.8066561,16.27318718,8338.946943,278,160,8.686210641,15.09229099,2.694136,39.30269,0.973,78,52,0.405935,1842,80.7,2093,158883,0.003658,27.8,60609,195.5,93,9.4,82.8,10.6,5.3,11,27.7,36.7,2.3,1.4,27.3,0,11,0,0,21.1,NA,24,46.11498933,439.7247368,32.7,77.9411764705882,572106,24222,+41.8248978,-087.6804596,59,MCKINLEY PARK
17031590700,17.46372805,29.99657193,10.70401717,,,,,,,,moderate_cost,114,907,221500,463,38.4910109,3.25,73.55450237,22.59887006,10102.93514,1009,180,5.305039788,29.73769525,10.80569,43.88626,0.667,3,3,0.188116,3393,81.1,1330,68804,0.001529,7.9,60609,195.5,93,9.2,84.5,10.8,5.3,6,37.4,41.4,2.6,0.2,20.2,0,0,6,0,21.1,NA,24,46.11498933,439.7247368,32.7,77.9411764705882,869830,12614,+41.8260539,-087.6627888,59,MCKINLEY PARK
17031610400,18.57811826,29.17644586,10.92102961,0,0,0,0.999926,0.999926,D,CD,lower_cost,48,762,128100,298,41.99899041,2.86,71.01200686,16.47286822,31442.39607,760,39,1.968702675,38.36446239,8.233276,51.11492,,,,0.210973,1981,93.2,339,15797,0.002077,9.7,60609,195.5,93,9.2,90.9,10.5,5,0,40,52.6,2.9,2.5,0,0,0,0,0,36.4,10.5,32,67.22063136,474.5761204,23.1,73.5294117647059,163180,0,+41.8103984,-087.6674491,61,NEW CITY
17031843800,16.1440658,30.71135454,10.60579342,,,,,,,,lower_cost,31,1144,171400,317,6.41025641,2.23,52.72435897,11.90697674,2931.132709,375,218,14.70985155,25.30364372,4.967949,50.80128,0.667,3,3,0.247428,1482,82.6,2582,163319,0.001972,12.5,60609,195.5,93,9.3,74.2,10.5,4.5,167,22.7,25.8,66.4,0,7.3,0,41,0,126,36.4,10.5,32,67.22063136,474.5761204,23.1,66.1764705882353,1309516,0,+41.8016566,-087.6404756,61,NEW CITY
17031400400,16.42325211,30.70539093,10.53231335,0,0,0,0.975358,0.975358,D,CD,lower_cost,51,1037,,469,0,1.84,56.41025641,18.66759195,16794.24856,679,209,9.858490566,32.02830189,6.538462,60.12821,0,1,1,0.347598,2120,96.1,740,35829,0.002263,11,60637,348.5,268.8,9.5,56.2,10.4,4.7,82,33.4,1,98.4,0,0,0,18,0,64,48.1,NA,26.9,89.8234038,648.4579804,32.7,69.1176470588235,326944,0,+41.7911261,-087.6183211,40,WASHINGTON PARK
17031410500,14.65254533,32.12727608,10.19051563,0,0,1,0,1,C,CD,moderate_cost,0,1272,344500,650,12.33606557,2.12,31.70926518,48.93406049,24027.7996,236,236,9.672131148,9.672131148,0,51.91693,0.75,4,4,0.295905,2440,45.2,847,51300,0.00322,19.5,60615,140.75,188.4,9.5,40.3,10,0,1,19.5,43.8,41.7,0,11.7,0,0,0,1,23.3,8.7,14.7,86.61430355,656.6137624,18,0,263011,0,+41.7978308,-087.6037423,41,HYDE PARK
17031421200,15.46692077,31.39394542,10.33336357,0,0,0,0.750849,0.750849,D,CD,lower_cost,26,483,91100,266,2.892561983,3.05,37.08333333,16.07347876,9620.560309,323,194,16.03305785,26.69421488,5.416667,55.41667,0,1,1,0.330891,1210,88.5,913,62911,0.002803,19.3,60637,348.5,268.8,9.5,59,10.3,5,37,33.4,1.6,94.5,1.8,0,0,22,0,15,36.5,12.3,27.1,106.6853478,602.9923383,36.3,73.5294117647059,325749,0,+41.7706621,-087.6089474,42,WOODLAWN
17031834400,15.08304851,31.72786574,10.23146905,0,0,0.935502,0.063461,0.998963,C,CD,moderate_cost,99,1188,210000,699,2.072892938,2.9,55.35055351,29.33753943,19386.48324,1194,388,8.838268793,27.19817768,6.088561,42.98893,0.918,30,20,0.33889,4390,88.3,1880,100696,0.003205,17.2,60637,348.5,268.8,9,45.8,10.5,4.3,41,26.3,2.8,95.8,0,0,0,1,7,33,36.5,12.3,27.1,106.6853478,602.9923383,36.3,63.2352941176471,586494,0,+41.7769504,-087.5963030,42,WOODLAWN
